id,geom,objectid,diaobs,nombreobs,sitiobservacion,coord_x,coord_y,nombre_cie,nombre_com,foto
1,0101000020667F000090FF90BEA3A31241C486A7470FCD4041,1,2014-11-09 00:00:00,Carlos Galindo-Leal,Lago de Cuitzeo,305384.9360999996,2202142.559800001,Egretta thula,Garza dedos dorados,garzaDedosDorados.jpg
2,0101000020667F00002063EE5A0E88124120B072280ACB4041,2,2014-11-09 00:00:00,Carlos Galindo-Leal,Lago de Cuitzeo,303619.5888,2201108.3159999996,Actitis macularius,Playero alzacolita,playeroAlzacolita.jpg
3,0101000020667F00002063EE5A0E88124120B072280ACB4041,3,2014-11-09 00:00:00,Carlos Galindo-Leal,Lago de Cuitzeo,303619.5888,2201108.3159999996,Nycticorax nycticorax,Garza Nocturna Corona Negra,garzaNocturna.jpg
4,0101000020667F00002063EE5A0E88124120B072280ACB4041,4,2014-11-09 00:00:00,Carlos Galindo-Leal,Lago de Cuitzeo,303619.5888,2201108.3159999996,Fulica americana,Gallareta americana,gallareta.jpg
5,0101000020667F00000088F45B8D861041BC74937000DA4041,5,2013-12-17 00:00:00,Elvis Herrera Rodríguez,Lago de Cuitzeo,270755.3398000002,2208768.8795,Spatula clypeata,Pato cucharón norteño,patoCucharon.jpg
6,0101000020667F000030E6AEA58A6D1041641058D94BD94041,6,2013-12-17 00:00:00,Elvis Herrera Rodríguez,Lago de Cuitzeo,269154.6617999999,2208407.698000001,Himantopus mexicanus,Monjita Americana,monjitaAmericana.jpeg
7,0101000020667F000080A7578A89221041D4E76A1B81DB4041,7,2013-12-17 00:00:00,Elvis Herrera Rodríguez,Lago de Cuitzeo,264354.3850999996,2209538.2141999993,Recurvirostra americana,Avoceta americana,avoceta.jpg
8,0101000020667F0000C08D06F0FD211141C8DCB5E4D9CE4041,8,2010-03-24 00:00:00,Larissa Ortega Guzmán,Lago de Cuitzeo,280703.4844000004,2203059.786800001,Xanthocephalus xanthocephalus,Tordo cabeza amarilla,tordoCabezaAmarilla.jpg
9,0101000020667F0000B037F8C26BDD1041F853E315EBD84041,9,2015-10-29 00:00:00,SIRUKI EDUCACIÓN AMBIENTAL A.C.,Lago de Cuitzeo,276314.94039999973,2208214.171,Egretta thula,Garza dedos dorados,garzaDedosDorados.jpg
10,0101000020667F0000101DC9E5D6E31041E4839E3D2AD84041,10,2015-10-29 00:00:00,SIRUKI EDUCACIÓN AMBIENTAL A.C.,Lago de Cuitzeo,276725.7243999997,2207828.4814,Plegadis chihi,Ibis Ojos Rojos,ibisOjosRojos.jpg
11,0101000020667F0000905CFE83D3F610410C4FAF0478D54041,11,2015-10-29 00:00:00,SIRUKI EDUCACIÓN AMBIENTAL A.C.,Lago de Cuitzeo,277940.8788999999,2206448.0365999993,Recurvirostra americana,Avoceta americana,avoceta.jpg
12,0101000020667F00001083C08ABF361141D8A3702D84D84041,12,2019-02-25 00:00:00,Ricardo Arredondo T.,Lago de Cuitzeo,282031.88549999986,2208008.3550000004,Aythya collaris,Pato pico anillado,patopicoAnillado.jpg
13,0101000020667F000080855A13B2BB104178BE9FDA5BD84041,13,2019-02-24 00:00:00,Juan Miguel Artigas Azas,Lago de Cuitzeo,274156.51889999956,2207927.7080000006,Larus delawarensis,Gaviota pico anillado,gaviotaAnillado.jpg
14,0101000020667F0000805AD37C6ADE1041E4D0227B53D74041,14,2019-02-24 00:00:00,Juan Miguel Artigas Azas,Lago de Cuitzeo,276378.6218999997,2207398.9619999994,Aechmophorus clarkii,Achichilique pico naranja,achichilique.jpg
15,0101000020667F0000E08AFDA51C5D11412853056BE3D44041,15,2020-02-22 00:00:00,Sin Información,Lago de Cuitzeo,284487.1621000003,2206150.836100001,Charadrius vociferus,Chorlo tildio,chorlo.jpg
16,0101000020667F000090218EF5A1D4104164EE5A82E2DF4041,16,2020-02-22 00:00:00,Sin Información,Lago de Cuitzeo,275752.48979999963,2211781.0184000004,Lanius ludovicianus,Verdugo Americano,verdugoAmericano.jpg
17,0101000020667F000040696FB084B710415CB1BF2448DA4041,17,2020-02-22 00:00:00,Sin Información,Lago de Cuitzeo,273889.17229999974,2208912.2871000003,Himantopus mexicanus,Monjita Americana,monjitaAmericana.jpeg
18,0101000020667F000010AE47214CCA104190C2F5B0E5D94041,18,2020-02-22 00:00:00,Sin Información,Lago de Cuitzeo,275091.03249999974,2208715.3825000003,Recurvirostra americana,Avoceta americana,avoceta.jpg
19,0101000020667F0000400AD7E31FD710418816D9EEB4D94041,19,2020-02-22 00:00:00,Sin Información,Lago de Cuitzeo,275911.97250000015,2208617.8660000004,Spatula clypeata,Pato cucharón norteño,patoCucharon.jpg
20,0101000020667F0000E08AFD65D9091141C46D342862D74041,20,2021-10-23 00:00:00,Sin Información,Lago de Cuitzeo,279158.3496000003,2207428.314099999,Ardea herodias,Garza morena,garzaMorena.jpg
21,0101000020667F000050302AE90996104194A982D116CC4041,21,2023-01-09 00:00:00,Lupita Uribe,Lago de Cuitzeo,271746.4776999997,2201645.6368000004,Haemorhous mexicanus,Pinzón mexicano,pinzonMexicano.jpg
22,0101000020667F000040DF4F0DE0B510415405A3B243D34041,22,2023-01-03 00:00:00,Lupita Uribe,Lago de Cuitzeo,273784.01300000027,2205319.3956000004,Sporophila torqueola,Semillero Rabadilla Canela,semilleroRabadilla.jpg
23,0101000020667F00008048BFFD8657114194B20C49F8CC4041,23,2023-01-25 00:00:00,Lupita Uribe,Lago de Cuitzeo,284129.7478,2202096.570699999,Pelecanus erythrorhynchos,Pelícano Blanco Americano,pelicanoBlanco.jpg
24,0101000020667F0000402575021BDC104194438B3C9BD54041,24,2023-04-02 00:00:00,Daniel Martínez Galíndez,Lago de Cuitzeo,276230.75239999965,2206518.4729999993,Ardea alba,Garza blanca,garzaBlanca.jpg
25,0101000020667F0000F085C914EB0F124178E9260129D74041,25,2023-05-18 00:00:00,Perla Castañeda,Lago de Cuitzeo,295930.7703,2207314.0089999996,Buteo jamaicensis,Aguililla cola roja,Aguililla.jpg
26,0101000020667F0000D0A3707DDF021141789CA2E3C5CD4041,26,2023-12-17 00:00:00,Martín Castrejón,Lago de Cuitzeo,278711.8724999996,2202507.7784,Xanthocephalus xanthocephalus,Tordo cabeza amarilla,tordoCabezaAmarilla.jpg
27,0101000020667F0000F0F44A191F791141E04F8DAF69D24041,27,2023-12-17 00:00:00,Martín Castrejón,Lago de Cuitzeo,286279.77469999995,2204883.3715000004,Icterus cucullatus,Calandria Dorso Negro Menor,calandriaMenor.jpg
28,0101000020667F000080F2B0102E06114178BE9FC206D24041,28,2023-12-17 00:00:00,Martín Castrejón,Lago de Cuitzeo,278923.51630000025,2204685.5205000006,Agelaius phoeniceus,Tordo sargento,tordoSargento.jpg
29,0101000020667F0000D0F753A36A0F11416CBC74FB3AD04041,29,2023-12-17 00:00:00,Martín Castrejón,Lago de Cuitzeo,279514.65950000007,2203765.9645000007,Polioptila caerulea,Perlita Azulgris,perlita.jpg
